Hotel name,Price,Rating
"Casilla Dalea en Carcabuey, descubre el interior de Andalucia",200,8.4
El Masegal,529,9.4
"La Grana de Carcabuey, house low cost",,9.4
Casas Mitra Rural,252,9.6
Apartamentos Rurales El Cañuelo de Carcabuey,180,8.8
La Posada De Adul,208,9.5
Hostal la zamora,160,9
El Molino de las Palomas,482,
Five-Bedroom Holiday Home in Caracabuey,752,
Casona del Olivar,,9.7
Holiday home CO-7209,1004,
Cortijo La Algallumbilla,920,
Huerta de las Palomas,264,8.9
Villa Turística de Priego,148,8.7
Cortijo La Presa,,8.9
Casa Baños de la Villa,356,9.1
La Posada Real,160,8.7
Hotel Río Piscina,192,7.2
Hacienda Minerva,214,8.4
Hotel Zuhayra,196,9.2
Los Castillarejos Apartamentos Rurales,220,9.2
Villa 'Los Balcones',,9.6
Hotel Hospederia San Francisco,216,8.4
Hotel Las Rosas,196,8.1
Hosteria de Rafi,182,8.5
Casa Rural Azahar,340,9.5
Hotel Patria Chica,320,9.1
MS Fuente Las Piedras,198,8.2
Holiday home Cierzos y Cabreras,,6.5
Hotel Zahorí,220,8.8
