Hotel name,Price,Rating
Hostal La Zamora,36.0,9.0
La Posada de Adul,47.0,9.0
El Canuelo de Carcabuey,41.0,
Casa La Cubilla,51.0,
Hotel Rural Huerta de las Palomas,60.0,8.0
Hotel Las Rosas,45.0,8.0
Hotel Museo Patria Chica,73.0,9.0
Casa Banos de la Villa,85.0,9.0
Hotel Rural Zuhayra,45.0,9.0
Hacienda Minerva,49.0,8.0
Hotel Mencia Subbetica,50.0,8.0
MS Fuente las Piedras,42.0,7.0
Hotel Mitra,36.0,7.0
Sierra de Araceli,45.0,8.0
Hote Santo Domingo Lucena,66.0,7.0
Hotel Caserio de Iznajar,45.0,8.0
Hotel Rural Llano Pina,55.0,9.0
"La Bobadilla, a Royal Hideaway Hotel",178.0,9.0
Hotel Torrepalma,70.0,7.0
Hotel Abades Loja,30.0,7.0
Hotel Almazara,57.0,6.0
Hotel El Mirador Loja,49.0,6.0
Manzanil Area de Servicio Hotel,32.0,5.0
Hotel Hacienda Mendoza,54.0,10.0
Cortijo de Tajar Hotel,61.0,8.0
Hotel Paraiso de Granada,45.0,8.0
Hotel El Carmen,60.0,7.0
Hotel Asador Albenzaire,36.0,6.0
Las Acacias,54.0,7.0
Hotel Castillo De Montemayor,41.0,6.0
