Hotel name,Price,Rating
The Pavilions Madrid Hotel,784,9.3
Hotel Riu Plaza España,860,9
Estudio Dino,,8.7
Behap Madrid Malasaña,560,9.1
Luxury Bernabeu,319,7.9
Grand Via House,410,9
Carretas Apartments,629,9
La Estancia Inolvidable,330,9.5
Casa del Olivar,528,9.7
Hotel Don Luis,,7.8
AP City Center Gran Via - Sol,500,7.6
Apartamentos APR Alcalá,288,7.7
Madrid Central Suites,571,9
Hostal Juliette,240,8.5
Apartamento cerca de la estación de Atocha,305,8.4
Hostal Rías Bajas,240,8.9
Your Apartment In Atocha,,9.3
Apartment Martina,435,8
El Hogar de Miguel Servet,478,7.9
Apartamento en calle Mayor,384,7.6
BNBHolder Cosy & Modern SOL,360,8.6
Cómoda Habitación Gran Vía,220,
Hostal Viky,230,8.2
Luxury,,7.7
La Latina City Center,502,7.6
Apartments Dreammadrid Atocha Terraza,366,8.3
Ibis Budget Madrid Vallecas,228,7.8
Apartamentos Goyescas Deco,348,5.8
Valverde Apartment,380,8.1
Sunny Loft Historic District - Sol,524,
Ofelia Nieto Apartmentos,475,7.6
General Alvarez Castro Alojamientos,,
Infanta Mercedes,300,7.9
Hostal Angelines,220,9.1
GRAN VÍA SANTO DOMINGO APARTAMENT,720,
"Luxury apartment right on Gran Via with pool, fitnessroom and garage!",792,
La Casa de los Espejos del Palacio Real,478,6.8
Apartamentos Centro Colón,373,7.4
Apartamentos Puerta del Sol-Rastro,,8.2
Apartamentos Dali Madrid,384,7.4
Madrid Suites San Mateo,281,8.2
Motion Chueca,207,6.1
Hotel Mediodia,380,8.5
Hostal Alonso,140,8.4
Hotel Liabeny,520,8.9
Nice Dreams House,,9.6
Apartamentos CalleCultura,340,8.1
Hostal Olga,260,8.1
Hostal Madrid Sol,270,8.9
Hospedaje Romero Gran Vía,310,8.7
Room Gran Vía Apartments,367,8
Pensión San Isidro,272,7.5
Apartamento La Milla De Oro,,8.6
"San Pedro, 20",354,8.5
Tiffany vip sol,280,6.9
Solfai Vacacional 24,810,7.3
Apartamento Moderno en Edificio Clásico del Centro,365,8.4
Hostal Aguilar,320,9
El Jardín del Ángel Camelia,630,8.9
Apartamentos Conde Duque Decó,372,7.6
Madrid Studio Apartments,,8.6
STAYHERE BERNABEU I,285,7
Room Mate Macarena – Gran Vía,592,9.2
RASTRO,520,8.7
Ibis Budget Madrid Centro Las Ventas,200,8.2
Behap Madrid Plaza del Carmen,600,9.3
Hostal Nersan II,234,7.5
Hostal Puerta Bonita,,8.8
Hostal Villamañez,198,7.5
Apartamentos Juan Bravo,280,8.3
Studio Goya-Wizink,380,9.6
Hostal Avenida Barajas,240,8.2
Prado Apartamentos,279,7.8
Preciados,584,9.1
Hostal Santa Cruz,,8.8
Ribera,520,9.5
Hostal Dulcinea,320,8.8
Hostal Rivera - Atocha,185,7.8
GRAN VÍA Apartment (2BR 1BT),697,8.9
Aptos Cuenca 2,276,9.3
Friendly Rentals Salamanca Confort Ayala,314,7.7
Lapepa Chic,,8.8
Apartamento Retiro Pacífico,340,7.5
Bright Apartment in Malasaña,316,8.2
Hostal Residencia Fernandez,166,8.2
Chueca - Room Apartments,234,7.7
Casa de Huespedes La Asturiana,224,7.7
Erase un Hotel,318,8.2
Bloom Inn Madrid,328,9
Garcia de Paredes Estudio,,5.7
SmartRental Atocha,440,7.7
Hotel Gran Legazpi,247,7.9
Apartamentos Villablino Arturo Soria,376,7.9
Apartamentos Madrid Centro,260,7.6
Woohoo Suites Madrid,260,9.1
Collection La Latina,373,7.7
Hostal Mayor,,9.1
La Latina Boutique,608,
Nuevos Apartamentos barrio exclusivo-Wizink Center,410,8
Hotel Villa de Barajas,290,7.9
J&G Apartment Puerta del Sol,1080,
Hotel Madrid Río,220,7.1
Hotel Barajas Plaza,250,8
Viviendas Turísticas Camino del Prado,,7.6
Homelike Plaza Mayor,409,9.7
VILLAGE ARTURO SORIA,200,7.8
Sunny n quiet Penthouse in the center.Ático centro,340,
Apartamentos El Capricho de Madrid,216,7.7
Gran Vía Capital,739,9.1
Genteel Home Reina Sofía,512,8.7
