Hotel name,Price,Rating
Hotel Puerta America,124.0,8.0
Novotel Madrid Center,129.0,8.0
Only YOU Boutique Hotel Madrid,274.0,10.0
ApartoSuites Jardines de Sabatini,113.0,9.0
Hotel Francisco I,85.0,9.0
Hotel Europa,112.0,9.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Barcelo Torre de Madrid,172.0,10.0
Artiem Madrid,102.0,10.0
ibis Madrid Calle Alcala,52.0,8.0
B&B Hotel Madrid Centro Puerta del Sol,102.0,9.0
Only YOU Hotel Atocha,207.0,10.0
Ibis Madrid Aeropuerto Barajas,62.0,8.0
SLEEP'N Atocha,89.0,9.0
Ibis Madrid Centro,82.0,9.0
Hotel Nuevo Madrid,64.0,8.0
Hotel Puerta America,124.0,8.0
Hotel Preciados,133.0,9.0
Ibis Budget Madrid Centro Las Ventas,50.0,8.0
ibis Madrid Centro Las Ventas,64.0,8.0
Dear Hotel Madrid,131.0,9.0
Hotel Regina,123.0,8.0
Hotel Nuevo Boston,115.0,8.0
Senator Gran Via 70 Spa Hotel,108.0,8.0
Artistic B&B,59.0,10.0
ILUNION Suites Madrid,83.0,8.0
B&B Hotel Madrid Fuencarral 52,102.0,9.0
Silken Torre Garden,53.0,8.0
Ibis budget Madrid Calle Alcala,49.0,8.0
Hotel Ibis Budget Madrid Calle 30,45.0,8.0
Ayre Gran Hotel Colon,90.0,8.0
Hotel Persal,73.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Hotel CoolRooms Atocha,228.0,10.0
Ibis Styles Madrid Prado,137.0,9.0
VP Plaza Espana Design,196.0,10.0
Catalonia Gran Via,152.0,8.0
SmartRental Collection Gran Via Capital,168.0,9.0
Only YOU Hotel Atocha,207.0,10.0
NH Alonso Martinez,116.0,9.0
Melia Madrid Princesa,141.0,9.0
Hospedaje Romero,78.0,10.0
Room Mate Alba,115.0,10.0
NH Madrid Ventas,103.0,9.0
Eurostars Madrid Tower,153.0,8.0
Vitium Urban Suites,81.0,9.0
NH Madrid Nacional,123.0,8.0
Catalonia Atocha,135.0,9.0
Hostal Gala,65.0,8.0
Hotel Madrid Chamartin managed by Melia Hotels International,78.0,8.0
Sercotel Alcala 611,67.0,9.0
Hotel Mediodia,86.0,8.0
Hotel Maydrit Airport,94.0,8.0
Travelodge Madrid Alcala,62.0,8.0
Artrip Hotel,117.0,10.0
Sungate One Hostel,85.0,10.0
Occidental Castellana Norte,98.0,9.0
Clement Barajas Hotel,114.0,8.0
Hotel Silken Puerta Madrid,103.0,8.0
Vertice Roomspace,47.0,7.0
Mola Hostel,110.0,9.0
Las Musas Hostel,43.0,8.0
Weare Chamartin Hotel,127.0,7.0
Room007 Chueca Hostel,85.0,9.0
Relais & Chateaux Hotel Orfila,298.0,10.0
The Westin Palace Madrid,377.0,9.0
Gran Hotel Ingles,324.0,10.0
Palacio de los Duques Gran Melia,273.0,10.0
Hyatt Centric Gran Via Madrid,229.0,9.0
Hotel Riu Plaza Espana,166.0,8.0
Only YOU Hotel Atocha,207.0,10.0
ME BY MELIA MADRID Reina Victoria,155.0,9.0
Barcelo Imagine,138.0,10.0
H10 Villa de la Reina Boutique Hotel,137.0,9.0
Melia Madrid Serrano,98.0,9.0
Suites Viena Plaza De Espana,115.0,9.0
Emperador Hotel Madrid,127.0,8.0
Novotel Madrid Campo de las Naciones,164.0,8.0
Hotel Liabeny,118.0,9.0
Hotel Santo Domingo Madrid,96.0,7.0
Ganivet Hotel,85.0,8.0
OK Hostel Madrid,97.0,10.0
Hotel Paseo del Arte,185.0,8.0
NH Madrid Zurbano,120.0,8.0
H10 Puerta de Alcala,125.0,8.0
Petit Palace Triball,119.0,9.0
